chunk_index,split,word_count
0,train,243
1,train,237
2,train,237
3,train,224
4,train,207
5,train,247
6,train,233
7,train,249
8,train,256
9,train,251
10,train,51
11,train,252
12,train,248
13,train,245
14,train,234
15,train,226
16,train,243
17,train,251
18,train,234
19,train,250
20,train,145
21,train,235
22,train,221
23,train,255
24,train,243
25,train,70
26,train,251
27,train,125
28,train,256
29,train,227
30,train,244
31,train,250
32,train,234
33,train,253
34,train,35
35,train,240
36,train,227
37,train,256
38,train,237
39,train,238
40,train,107
41,train,243
42,train,228
43,train,246
44,train,237
45,train,228
46,train,248
47,train,232
48,train,249
49,train,221
50,train,242
51,train,225
52,train,70
53,train,252
54,train,252
55,train,254
56,train,234
57,train,221
58,train,255
59,train,57
60,train,245
61,train,224
62,train,230
63,train,252
64,train,227
65,train,256
66,train,138
67,train,230
68,train,232
69,train,252
70,train,247
71,train,250
72,train,202
73,train,235
74,train,235
75,train,227
76,train,255
77,train,250
78,train,241
79,train,94
80,train,226
81,train,239
82,train,236
83,train,248
84,train,129
85,train,235
86,train,229
87,train,245
88,train,256
89,train,250
90,train,252
91,train,104
92,train,256
93,train,237
94,train,232
95,train,253
96,train,244
97,train,254
98,train,242
99,train,247
100,train,238
101,train,247
102,train,211
103,train,250
104,train,241
105,train,252
106,train,213
107,train,244
108,train,239
109,train,254
110,train,224
111,train,243
112,train,233
113,train,148
114,train,231
115,train,256
116,train,245
117,train,231
118,train,243
119,train,240
120,train,30
121,train,247
122,train,233
123,train,219
124,train,154
125,train,237
126,train,221
127,train,255
128,train,245
129,train,215
130,train,252
131,train,224
132,train,234
133,train,228
134,train,240
135,train,225
136,train,250
137,train,238
138,train,231
139,train,221
140,train,253
141,train,251
142,train,139
143,train,232
144,train,235
145,train,235
146,train,233
147,train,203
148,train,250
149,train,246
150,train,225
151,train,243
152,train,230
153,train,61
154,train,249
155,train,250
156,train,230
157,train,245
158,train,256
159,train,251
160,train,176
161,train,221
162,train,256
163,train,252
164,train,220
165,train,226
166,train,246
167,train,242
168,train,238
169,train,253
170,train,139
171,train,222
172,train,232
173,train,242
174,train,251
175,train,236
176,train,243
177,train,235
178,train,35
179,train,251
180,train,244
181,train,236
182,train,108
183,train,254
184,train,233
185,train,240
186,train,235
187,train,188
188,train,253
189,train,243
190,train,239
191,train,247
192,train,243
193,train,118
194,train,242
195,train,248
196,train,252
197,train,255
198,train,228
199,train,247
200,train,238
201,train,255
202,train,252
203,train,251
204,train,46
205,train,217
206,train,232
207,train,231
208,train,222
209,train,240
210,train,234
211,train,225
212,train,76
213,train,224
214,train,251
215,train,254
216,train,247
217,train,250
218,train,72
219,train,247
220,train,230
221,train,244
222,train,239
223,train,227
224,train,212
225,train,244
226,train,231
227,train,247
228,train,235
229,train,223
230,train,230
231,train,40
232,train,242
233,train,230
234,train,235
235,train,233
236,train,243
237,train,246
238,train,19
239,train,232
240,train,251
241,train,242
242,train,253
243,train,252
244,train,231
245,train,229
246,train,224
247,train,100
248,train,245
249,train,224
250,train,226
251,train,223
252,train,241
253,train,249
254,train,95
255,train,239
256,train,245
257,train,240
258,train,251
259,train,173
260,train,232
261,train,256
262,train,230
263,train,239
264,train,91
265,train,234
266,train,247
267,train,247
268,train,238
269,train,240
270,train,197
271,train,230
272,train,248
273,train,245
274,train,218
275,train,241
276,train,239
277,train,252
278,train,25
279,train,233
280,train,231
281,train,113
282,train,246
283,train,253
284,train,253
285,train,250
286,train,255
287,train,227
288,train,218
289,train,231
290,train,232
291,train,244
292,train,244
293,train,236
294,train,125
295,train,224
296,train,237
297,train,226
298,train,236
299,train,227
300,train,220
301,train,250
302,train,91
303,train,254
304,train,228
305,train,231
306,train,247
307,train,217
308,train,233
309,train,223
310,train,137
311,train,231
312,train,233
313,train,247
314,train,242
315,train,238
316,train,154
317,train,238
318,train,253
319,train,253
320,train,252
321,train,235
322,train,235
323,train,137
324,train,230
325,train,238
326,train,243
327,train,256
328,train,242
329,train,140
330,train,254
331,train,242
332,train,255
333,train,143
334,train,221
335,train,254
336,train,238
337,train,225
338,train,223
339,train,249
340,train,186
341,train,253
342,train,230
343,train,244
344,train,99
345,train,224
346,train,230
347,train,254
348,train,238
349,train,161
350,train,231
351,train,233
352,train,246
353,train,251
354,train,233
355,train,233
356,train,181
357,train,231
358,train,237
359,train,111
360,train,249
361,train,245
362,train,246
363,train,248
364,train,228
365,train,235
366,train,247
367,train,249
368,train,115
369,train,249
370,train,231
371,train,255
372,train,230
373,train,229
374,train,70
375,train,232
376,train,222
377,train,256
378,train,112
379,train,228
380,train,241
381,train,251
382,train,249
383,train,141
384,train,236
385,train,236
386,train,252
387,train,232
388,train,108
389,train,221
390,train,255
391,train,251
392,train,237
393,train,182
394,train,223
395,train,245
396,train,246
397,train,251
398,train,229
399,train,150
400,train,238
401,train,227
402,train,229
403,train,242
404,train,254
405,train,237
406,train,256
407,train,100
408,train,241
409,train,256
410,train,252
411,train,251
412,train,224
413,train,95
414,train,244
415,train,235
416,train,254
417,train,164
418,train,240
419,train,225
420,train,239
421,train,239
422,train,233
423,train,111
424,train,246
425,train,238
426,train,227
427,train,233
428,train,240
429,train,242
430,train,213
431,train,244
432,train,223
433,train,238
434,train,252
435,train,242
436,train,234
437,train,226
438,train,42
439,train,228
440,train,240
441,train,220
442,train,219
443,train,237
444,train,249
445,train,226
446,train,34
447,train,252
448,train,245
449,train,243
450,train,240
451,train,253
452,train,253
453,train,217
454,train,256
455,train,247
456,train,245
457,train,252
458,train,247
459,train,233
460,train,93
461,train,221
462,train,256
463,train,248
464,train,251
465,train,242
466,train,235
467,train,110
468,train,256
469,train,254
470,train,256
471,train,97
472,train,231
473,train,232
474,train,253
475,train,148
476,train,253
477,train,252
478,train,100
479,train,254
480,train,231
481,train,243
482,train,253
483,train,221
484,train,253
485,train,151
486,train,251
487,train,235
488,train,253
489,train,252
490,train,253
491,train,256
492,train,246
493,train,215
494,train,248
495,train,246
496,train,247
497,train,235
498,train,222
499,train,152
500,train,248
501,train,251
502,train,249
503,train,183
504,train,225
505,train,249
506,train,246
507,train,248
508,train,256
509,train,173
510,train,245
511,train,224
512,train,252
513,train,233
514,train,227
515,train,185
516,train,252
517,train,231
518,train,251
519,train,245
520,train,249
521,train,192
522,train,248
523,train,222
524,train,250
525,train,230
526,train,252
527,train,256
528,train,256
529,train,251
530,train,245
531,train,135
532,train,223
533,train,252
534,train,249
535,train,247
536,train,241
537,train,252
538,train,215
539,train,236
540,train,255
541,train,198
542,train,246
543,train,240
544,train,35
545,train,250
546,train,250
547,train,234
548,train,199
549,train,244
550,train,244
551,train,256
552,train,227
553,train,226
554,train,174
555,train,223
556,train,235
557,train,228
558,train,253
559,train,242
560,train,242
561,train,17
562,train,250
563,train,244
564,train,224
565,train,254
566,train,253
567,train,13
568,train,255
569,train,247
570,train,226
571,train,243
572,train,222
573,train,256
574,train,235
575,train,248
576,train,247
577,train,228
578,train,251
579,train,197
580,train,234
581,train,250
582,train,247
583,train,255
584,train,214
585,train,225
586,train,224
587,train,245
588,train,253
589,train,232
590,train,225
591,train,205
592,train,243
593,train,241
594,train,251
595,train,240
596,train,229
597,train,254
598,train,238
599,train,221
600,train,245
601,train,41
602,train,247
603,train,251
604,train,221
605,train,232
606,train,222
607,train,221
608,train,118
609,train,255
610,train,225
611,train,248
612,train,245
613,train,226
614,train,241
615,train,147
616,train,231
617,train,247
618,train,230
619,train,249
620,train,245
621,train,236
622,train,93
623,train,245
624,train,242
625,train,236
626,train,239
627,train,224
628,train,229
629,train,235
630,train,106
631,train,231
632,train,236
633,train,235
634,train,256
635,train,249
636,train,69
637,train,241
638,train,228
639,train,242
640,train,228
641,train,233
642,train,54
643,train,255
644,train,229
645,train,226
646,train,224
647,train,238
648,train,226
649,train,253
650,train,217
651,train,237
652,train,255
653,train,248
654,train,238
655,train,252
656,train,226
657,train,222
658,train,223
659,train,219
660,train,239
661,train,218
662,train,246
663,train,214
664,train,225
665,train,231
666,train,237
667,train,228
668,train,245
669,train,218
670,train,114
671,train,233
672,train,244
673,train,243
674,train,239
675,train,252
676,train,245
677,train,220
678,train,224
679,train,253
680,train,227
681,train,236
682,train,61
683,train,242
684,train,242
685,train,242
686,train,221
687,train,197
688,train,244
689,train,234
690,train,224
691,train,225
692,train,233
693,train,245
694,train,250
695,train,249
696,train,242
697,train,233
698,train,224
699,train,255
700,train,222
701,train,239
702,train,234
703,train,254
704,train,62
705,train,251
706,train,175
707,train,222
708,train,245
709,train,235
710,train,256
711,train,213
712,train,249
713,train,250
714,train,246
715,train,226
716,train,230
717,train,63
718,train,245
719,train,244
720,train,255
721,train,165
722,train,245
723,train,222
724,train,240
725,train,242
726,train,247
727,train,256
728,train,160
729,train,232
730,train,253
731,train,238
732,train,238
733,train,214
734,train,249
735,train,240
736,train,238
737,train,235
738,train,234
739,train,172
740,train,218
741,train,253
742,train,242
743,train,239
744,train,256
745,train,249
746,train,222
747,train,241
748,train,231
749,train,224
750,train,253
751,train,140
752,train,233
753,train,256
754,train,229
755,train,251
756,train,226
757,train,245
758,train,101
759,train,251
760,train,251
761,train,234
762,train,88
763,train,250
764,train,253
765,train,226
766,train,45
767,train,233
768,train,239
769,train,231
770,train,248
771,train,240
772,train,225
773,train,226
774,train,147
775,train,240
776,train,246
777,train,225
778,train,246
779,train,243
780,train,224
781,train,148
782,train,241
783,train,252
784,train,217
785,train,230
786,train,217
787,train,237
788,train,36
789,train,250
790,train,239
791,train,238
792,train,247
793,train,236
794,train,57
795,train,218
796,train,247
797,train,228
798,train,221
799,train,219
800,train,143
801,train,221
802,train,251
803,train,232
804,train,227
805,train,76
806,train,249
807,train,17
808,train,250
809,train,244
810,train,246
811,train,227
812,train,250
813,train,228
814,train,217
815,train,254
816,train,225
817,train,82
818,train,252
819,train,248
820,train,255
821,train,239
822,train,235
823,train,232
824,train,251
825,train,253
826,train,224
827,train,227
828,train,254
829,train,98
830,train,247
831,train,238
832,train,232
833,train,224
