axis,word,coefficient,direction,associated_class
I/E,ne,-4.811267984335107,negative,Extrovert
I/E,mask,-4.0052923903266215,negative,Extrovert
I/E,bored,-3.641416729851352,negative,Extrovert
I/E,7w8,-3.6405095774103775,negative,Extrovert
I/E,7w6,-3.449900562070937,negative,Extrovert
I/E,fun,-2.738156000722138,negative,Extrovert
I/E,ego,-2.7145515016974358,negative,Extrovert
I/E,lol,-2.6925582598877713,negative,Extrovert
I/E,sx,-2.6776574454403117,negative,Extrovert
I/E,super,-2.639100547083818,negative,Extrovert
I/E,ni,3.239134311229562,positive,Introvert
I/E,quiet,2.515040509042444,positive,Introvert
I/E,5w6,2.2902345427570054,positive,Introvert
I/E,anime,2.281769672208571,positive,Introvert
I/E,dry,2.2728836205731087,positive,Introvert
I/E,rant,2.271067557243303,positive,Introvert
I/E,movement,2.2355001975620725,positive,Introvert
I/E,inferior,2.1278778290374687,positive,Introvert
I/E,mind,2.052816133117909,positive,Introvert
I/E,family,2.0434259727492017,positive,Introvert
N/S,rave,-5.306658912655329,negative,Sensing
N/S,rant,-4.989765438643582,negative,Sensing
N/S,niss,-3.8940818495434,negative,Sensing
N/S,si,-3.89337318782993,negative,Sensing
N/S,se,-3.6522966118918143,negative,Sensing
N/S,type,-3.5401961023890722,negative,Sensing
N/S,facts,-3.03923343760293,negative,Sensing
N/S,johnson,-3.021720292942258,negative,Sensing
N/S,se ni,-2.7249455771795996,negative,Sensing
N/S,mechanic,-2.622659530418862,negative,Sensing
N/S,humanity,2.8175358777024475,positive,Intuitive
N/S,ideas,2.8166494279424077,positive,Intuitive
N/S,world,2.7366753287104224,positive,Intuitive
N/S,dark,2.7006581815889104,positive,Intuitive
N/S,nts,2.5559669325445924,positive,Intuitive
N/S,intuition,2.5439376245773726,positive,Intuitive
N/S,writing,2.431571918071717,positive,Intuitive
N/S,romance,2.3973637743029914,positive,Intuitive
N/S,7w6,2.3902214702522997,positive,Intuitive
N/S,debate,2.3591965717136225,positive,Intuitive
F/T,nt,-3.503685197827051,negative,Thinking
F/T,fucking,-3.4449773409674944,negative,Thinking
F/T,ti,-3.282845269564896,negative,Thinking
F/T,shit,-2.971366770767378,negative,Thinking
F/T,knowledge,-2.964435179040288,negative,Thinking
F/T,efficient,-2.861394823509906,negative,Thinking
F/T,research,-2.7566651511735376,negative,Thinking
F/T,female,-2.7099789429123176,negative,Thinking
F/T,boring,-2.6818627309777,negative,Thinking
F/T,ass,-2.680752965919208,negative,Thinking
F/T,feel,6.201286628537802,positive,Feeling
F/T,love,4.5663817999394505,positive,Feeling
F/T,values,4.3216719496519,positive,Feeling
F/T,beautiful,3.829157351904199,positive,Feeling
F/T,4w5,3.3176563306677864,positive,Feeling
F/T,nf,3.262317186498163,positive,Feeling
F/T,heart,3.1973757474093834,positive,Feeling
F/T,xd,3.053244310217028,positive,Feeling
F/T,feeling,3.0385310053580574,positive,Feeling
F/T,wonderful,2.987835709178793,positive,Feeling
J/P,ne,-4.859199644500907,negative,Perceiving
J/P,lazy,-2.613730432026205,negative,Perceiving
J/P,weed,-2.576018562634437,negative,Perceiving
J/P,fi,-2.5166864675902407,negative,Perceiving
J/P,fuck,-2.3133481641053146,negative,Perceiving
J/P,inferior fe,-2.2517897123876875,negative,Perceiving
J/P,7w8,-2.18958594926456,negative,Perceiving
J/P,se ni,-2.1366430546029194,negative,Perceiving
J/P,really,-2.1118509130687375,negative,Perceiving
J/P,buddy,-2.009983370355841,negative,Perceiving
J/P,ni,7.312294033337945,positive,Judging
J/P,rant,3.079497266723835,positive,Judging
J/P,rave,2.934437422150709,positive,Judging
J/P,fe,2.448774859842215,positive,Judging
J/P,plan,2.438686732016128,positive,Judging
J/P,goals,2.245243602866332,positive,Judging
J/P,doorslam,2.2262306077856024,positive,Judging
J/P,jawz,2.1914617038674797,positive,Judging
J/P,ni ti,2.1699015384300826,positive,Judging
J/P,inferior se,2.1671825137203085,positive,Judging
